epoch,batch,update,tokens_seen,validation_loss,validation_perplexity,validation_bits_per_token,validation_token_accuracy,learning_rate,elapsed_seconds
1,8000,1000,16384000,5.359548198672394,212.6288587442369,7.73219360763004,0.2406032314241486,0.00019968536556581445,4443.6754709000015
1,16000,2000,32768000,4.846062075119884,127.23834693906097,6.991389723615537,0.27062371001031993,0.00019760077468170583,8800.7554486
1,24000,3000,49152000,4.594925817444351,98.98079262715575,6.629076690079632,0.2858576818885449,0.00019360663158096,13158.501315599999
1,32000,4000,65536000,4.423282567192526,83.36950268025856,6.3814478241392605,0.29822142672858615,0.0001877900019869031,17516.756174200003
1,40000,5000,81920000,4.300922318016658,73.76779970390955,6.204919299451298,0.3064854231166151,0.00018027767881860512,21875.1068235
1,48000,6000,98304000,4.219671067315605,68.01110953289968,6.0876985229988625,0.31296762125902994,0.000171233418314641,26233.5802712
1,56000,7000,114688000,4.153135537363058,63.633212131004754,5.991708043893404,0.3178978005675955,0.00016085437041753046,30591.914519899998
1,57848,7231,118472704,4.141665139311485,62.90748401075868,5.975159757507377,0.3188894801341589,0.00015829042283738143,31627.1258037
2,6152,8000,131072000,4.103348810729351,60.54269452196229,5.919880980276861,0.32214670407636736,0.00014936678123058172,34983.772263399995
2,14152,9000,147456000,4.058742794336057,57.901471243628414,5.855528101632443,0.325218492002064,0.00013702106122648127,39342.741076499995
2,22152,10000,163840000,4.017731415105924,55.57488636344971,5.796361188197114,0.32990276702786375,0.00012408632671253892,43702.053027999995
2,30152,11000,180224000,3.9883640853244087,53.96653246840538,5.753993087157171,0.3319627192982456,0.00011084453353962994,48065.1295201
2,38152,12000,196608000,3.960991645376011,52.50937081457456,5.714503003786587,0.33473619711042313,9.758433093029202e-05,52426.978198900004
2,46152,13000,212992000,3.9391024484230885,51.37247115903453,5.682923567893564,0.3365583075335397,8.459476940237423e-05,56791.90494380001
2,54152,14000,229376000,3.9191405431158897,50.35714637805799,5.654124626100173,0.33881175825593396,7.215899994511043e-05,61153.623351500006
2,57848,14462,236945408,3.9134904548479676,50.07342633252921,5.645973271775457,0.3382111068111455,6.667643860071248e-05,63192.4808754
3,4304,15000,245760000,3.9078305414709638,49.79081560755222,5.6378077428145925,0.33942853457172345,6.0548101795173965e-05,65547.5575558
3,12304,16000,262144000,3.8926363266904533,49.040001719464904,5.615887124500548,0.34103699045407637,5.001517335700153e-05,69913.6596549
3,20304,17000,278528000,3.8800513953493354,48.426703914752004,5.597730906464789,0.34265753998968007,4.078981507556489e-05,74274.59837780001
3,28304,18000,294912000,3.8699585143995727,47.94039720340194,5.583169957170284,0.34348393962848295,3.307312452585244e-05,78636.5261794
3,36304,19000,311296000,3.8633783397536776,47.62597662287538,5.573676771840468,0.34427405830753355,2.7033312817844002e-05,83000.5843669
3,44304,20000,327680000,3.8577787607939005,47.36003647754564,5.565598287044131,0.3444796504127967,2.280203787211172e-05,87360.6436033
3,52304,21000,344064000,3.8515550103595997,47.066194777152845,5.556619313156835,0.34478199174406604,2.0471534494582614e-05,91720.5884197
3,57848,21693,355418112,3.8495834574979892,46.97349269970577,5.553774963620539,0.3452334881320949,2e-05,94762.5726759
